Payee:TEXT,Amount:REAL,tag:TEXT
STARBUCKS STORE 03278 BELLEVUE WA,4.8,Miscellaneous
STARBUCKS STORE 03310 MERCER ISLANDWA,28.4,Miscellaneous
STARBUCKS STORE 03321 MARYSVILLE WA,4.8,Miscellaneous
STUBHUB INC 866-788-2482 CA,1135.0,
Subway Seattle WA,34.1,Miscellaneous
SumUp *Mohamed harrak Swansea,19.8,Miscellaneous
SVO TICKETING SEATTLE WA,94.5,Miscellaneous
T-MOBILE HOTSPOT GMBH BONBONN,9.4,Miscellaneous
T. Jensen Coffee1001312Lusaka,9.5,Miscellaneous
TACNETLTD.COM 441865451662,70.0,Miscellaneous
TALISMAN RESTAURANT NAIROBI,207.6,
TAN SOK CHOEU VITRY SUR SEI,94.0,Miscellaneous
TAPA E-TICKET ATHINA,28.1,Miscellaneous
TARGET 00027862 SEATTLE WA,45.2,Miscellaneous
TERRASSE DE MME 2939319 PARIS0000556/,9.8,Miscellaneous
TFL TRAVEL CH TFL.GOV.UK/CP,33.8,Miscellaneous
THE AERO EAST AFRICA USD NAIROBI,40.0,Miscellaneous
THE AERO OF EAST AFRICA NAIROBI,453.7,
THE BAKED CAFE CAMANO ISLANDWA,51.5,Miscellaneous
THE GAINSBOROUGH BATH,1684.5,
THE HOME DEPOT #4711 BELLEVUE WA,68.2,Miscellaneous
THE INDIA 4 - BEST OF THELONDON,199.6,
THE INFORMATION THEINFORMATIOCA,769.2,
THE KENSINGTON CREPERI LONDON,10.3,Miscellaneous
THE MUSEUM OF FLIGHT MAINTUKWILA WA,284.3,
THE MUSEUM OF FLIGHT ONLI206-768-7111 WA,200.0,
THE RESTAURANT SN MIGUEL DE,172.9,
THE STAR STORE LANGLEY WA,101.2,
THE UPS STORE 1081 510-5176645 WA,131.0,
THOMPSON SEATTLE F&B SEATTLE WA,30.0,Miscellaneous
TICKETSOURCE 0333 666 4466,58.3,Miscellaneous
Tiqets INC 617-8588844 PA,257.6,
TPD FIRST HILL 117 SEATTLE WA,39.3,Miscellaneous
TPD JUANITA 119 KIRKLAND WA,106.6,
TRADER JOE S #132 KIRKLAND WA,120.0,
trainline +443332022222,1010.4,
TRAINLINE WWW.THETRAINL,96.0,Miscellaneous
TRES MUJERES TRONCONES TRONCONES,10363.6,
TST* ASA MERCER ISLANDWA,22.5,Miscellaneous
TST* BEECHER'S HANDMADE CBELLEVUE WA,61.4,Miscellaneous
TST* BURGERMASTER - BELLEBELLEVUE WA,46.3,Miscellaneous
TST* DOUGH ZONE - DOWNTOWBELLEVUE WA,177.3,
TST* EGG & US - ISSAQUAH ISSAQUAH WA,32.9,Miscellaneous
TST* LAKESIDE TAVERN & BRDETROIT LAKESMN,34.3,Miscellaneous
TST* LE PAIN QUOTIDIEN - WASHINGTON DC,46.8,Miscellaneous
TST* LOS CHILANGOS KIRKLAKIRKLAND WA,63.8,Miscellaneous
TST* SHELLIE'S COUNTRY CAHELENA MT,27.9,Miscellaneous
TST* STARR - PASTIS DC WASHINGTON DC,480.4,
TST* TATTE BAKERY CITY CEWASHINGTON DC,40.9,Miscellaneous
TST* VIVIENNES BISTRO MERCER ISLANDWA,470.6,
TST* YUZEN JAPANESE CUISIMERCER ISLANDWA,142.5,
TST*BLACK SHEEP SOCIAL C Cedar Rapids IA,551.3,
TST*BLUE HERON KITCHEN A Camano WA,319.4,
TST*CAMANO COMMONS Camano IslandWA,111.8,
TST*FONDA LA CATRINA Seattle WA,160.3,
TST*LOLA - TOM DOUGLAS Seattle WA,314.1,
TST*MAMNOON Seattle WA,140.3,
TST*MERCURYS COFFEE - T Kirkland WA,5.7,Miscellaneous
TST*NEB - TOM DOUGLAS Seattle WA,232.0,
TST*PRELUDE Seattle WA,49.9,Miscellaneous
TST*SANO CAFE Mercer IslandWA,53.3,Miscellaneous
TST*SERIOUS PIE DOWNTOWN Seattle WA,139.5,
TST*TUTTA BELLA NEAPOLIT Seattle WA,574.9,
TST*VIVIENNES BISTRO Mercer IslandWA,981.1,
TST*YELLOW - UNION MARKE Washington DC,123.8,
TTG* TimeOut London,138.4,
TURKISH AIRL000000055W5K5WWW.TURKISHAINY,7767.2,
TXW*LONDON TAXI 75240 GLASGOW,34.8,Miscellaneous
UBER *TRIP HELP.UBER.COM,317.0,
UBER *TRIP HELP.UBER.COMCA,1075.1,
UBER* TRIP CIUDAD DE MEX,60.4,Miscellaneous
UBER* TRIP UBER.COM/MX/E,5.0,Miscellaneous
UNITED 0162326279564UNITED.COM TX,658.2,
UNITED 0162332799320UNITED.COM TX,594.5,
UNITED 0162332799321UNITED.COM TX,594.5,
UNITED 0162332952057UNITED.COM TX,424.5,
UNITED 0162447198764UNITED.COM TX,835.0,
US CUSTOMS DTOPS 317-298-1245 IN,72.9,Miscellaneous
USCUSTOMS TRUSTEDTRAVELER317-715-6776 IN,145.0,
UTENGULE COFFEE LODGE MBEYA,93.4,Miscellaneous
UW PAY BY PHONE 206-685-1553 WA,10.0,Miscellaneous
VCS*Ministry*of Home A Windhoek,90.7,Miscellaneous
VICTORIA&ALBERT MUSEUM LONDON,21.8,Miscellaneous
VILLAGE CLEANERS MERCER ISLANDCA,277.3,
VIRGINIA MASON FRONT DESKSEATTLE WA,285.0,
VIRGINIA MASON MEDICAL CE206-2236601 WA,2309.6,
VM PARKING BUCK VALET SEATTLE WA,5.0,Miscellaneous
VM PARKING LINDEMAN SEATTLE WA,7.0,Miscellaneous
VM PARKING TERRY UNIV LOTSEATTLE WA,5.0,Miscellaneous
VMO*VIMEO.COM 848-359-5618 NY,119.0,
WA DEPT OF HEALTH HSQA 360-236-4508 WA,143.5,
WA DOL LIC & REG 41782 KENT WA,140.1,
WAITROSE 641 KNIGHTSBRIDGE,48.2,Miscellaneous
WAL-MART #1538 BROOKINGS SD,56.2,Miscellaneous
WELCOME B/WAITROSE FLEET SOUTH,12.8,Miscellaneous
WH Smith Swansea Swansea,39.8,Miscellaneous
WHC CAB LAS VEGAS NV,25.4,Miscellaneous
WHOLEFDS HST#10565 WASHINGTON DC,68.6,Miscellaneous
WICKED BREW STANWOOD WA,3.3,Miscellaneous
WICKER PARK SUSHI ORD CHICAGO IL,35.1,Miscellaneous
WOOLWORTHS SANDTON,57.0,Miscellaneous
WOOLWORTHS SOMERSET WEST,8.6,Miscellaneous
WSDOT-GOODTOGO ONLINE RENTON WA,300.0,
WSFERRIES-COLMAN DOCK SEATTLE WA,10.3,Miscellaneous
WSP BACKGROUND CHECKS 360-534-2109 WA,21.0,Miscellaneous
www.headout.com Berlin,56.9,Miscellaneous
XH165709 MISC LA GUERA IIE ZAPATA,460.7,
Yalla Yalla London,226.7,
YYJ FBO SERVICES LTD NORTH SAANICHBC,113.3,
ZETTLE_*SARTORELLI S L WITNEY,15.6,Miscellaneous
Zettle_*Sartorelli?s Ltd Witney,28.5,Miscellaneous
ZETTLE_*SCOTT WOLSEY BARNET,35.8,Miscellaneous
ZOLEO USA Inc. SEATTLE WA,171.9,
ZOOM.COM 888-799-9666 ZOOM.US CA,165.2,
ZUVA J Nkomo A/P Bulawayo,563.9,
ZUVA R.G Mugabe A/P Harare,522.1,
